symbolic_name,domain
AliasOf,data_items
AliasType,data_items
Aliases,data_items
AnalogConversionDataType,data_items
AnalogConversionDataType_EnumStrings,data_items
AnalogItemType,data_items
AnalogItemType_Aperture,data_items
AnalogItemType_Clamping,data_items
AnalogItemType_Conversion,data_items
AnalogItemType_Deadband,data_items
AnalogItemType_DisplayFormat,data_items
AnalogItemType_EngineeringUnits,data_items
AnalogItemType_EuHi,data_items
AnalogItemType_EuLo,data_items
AnalogItemType_IrHi,data_items
AnalogItemType_IrLo,data_items
AnalogItemType_LimitHi,data_items
AnalogItemType_LimitHiHi,data_items
AnalogItemType_LimitLo,data_items
AnalogItemType_LimitLoLo,data_items
ChannelsPropertyCategory,data_items
ConfigurationType,security
Configurations,security
Configurations_DeployConfiguration,security
Configurations_RemoveConfiguration,security
ConversionPropertyCategory,data_items
Creates,scada
DataGroupType,data_items
DataGroupType_Simulated,data_items
DataItemType,data_items
DataItemType_Alias,data_items
DataItemType_Input1,data_items
DataItemType_Input2,data_items
DataItemType_Locked,data_items
DataItemType_Output,data_items
DataItemType_OutputCondition,data_items
DataItemType_OutputTwoStaged,data_items
DataItemType_Severity,data_items
DataItemType_Simulated,data_items
DataItemType_StalePeriod,data_items
DataItems,data_items
DeviceType,devices
DeviceType_BytesIn,devices
DeviceType_BytesOut,devices
DeviceType_Disabled,devices
DeviceType_Enabled,devices
DeviceType_InterrogateCount,devices
DeviceType_MessagesIn,devices
DeviceType_MessagesOut,devices
DeviceType_Online,devices
DeviceType_SyncClockCount,devices
DeviceWatchEventType,devices
Devices,devices
DiscreteItemType,data_items
DiscreteItemType_Inversion,data_items
DisplayPropertyCategory,data_items
FileDirectoryType,filesystem
FileSystem,filesystem
FileType,filesystem
FileType_LastUpdateTime,filesystem
FileType_Size,filesystem
FilteringPropertyCategory,data_items
GeneralPropertyCategory,scada
HasConfiguration,security
HasDevice,data_items
HasEventDatabase,history
HasHistoricalDatabase,history
HasPropertyCategory,scada
HasSimulationSignal,data_items
HasTransmissionItem,devices
HasTransmissionSource,devices
HasTsFormat,data_items
HistoricalDataConfigurationType,history
HistoricalDataConfigurations,history
HistoricalDatabaseType,history
HistoricalDatabaseType_Depth,history
HistoricalDatabaseType_EventCleanupDuration,history
HistoricalDatabaseType_ItemCount,history
HistoricalDatabaseType_PendingTaskCount,history
HistoricalDatabaseType_ValueCleanupDuration,history
HistoricalDatabaseType_WriteValueCount,history
HistoricalDatabaseType_WriteValueDuration,history
HistoricalDatabases,history
HistoryPropertyCategory,history
IdentityMappingRuleType,security
IdentityMappingRuleType_Criteria,security
IdentityMappingRuleType_CriteriaType,security
Iec60870DeviceType,devices
Iec60870DeviceType_Address,devices
Iec60870DeviceType_ClockSyncPeriod,devices
Iec60870DeviceType_InterrogationPeriod,devices
Iec60870DeviceType_InterrogationPeriodGroup1,devices
Iec60870DeviceType_InterrogationPeriodGroup10,devices
Iec60870DeviceType_InterrogationPeriodGroup11,devices
Iec60870DeviceType_InterrogationPeriodGroup12,devices
Iec60870DeviceType_InterrogationPeriodGroup13,devices
Iec60870DeviceType_InterrogationPeriodGroup14,devices
Iec60870DeviceType_InterrogationPeriodGroup15,devices
Iec60870DeviceType_InterrogationPeriodGroup16,devices
Iec60870DeviceType_InterrogationPeriodGroup2,devices
Iec60870DeviceType_InterrogationPeriodGroup3,devices
Iec60870DeviceType_InterrogationPeriodGroup4,devices
Iec60870DeviceType_InterrogationPeriodGroup5,devices
Iec60870DeviceType_InterrogationPeriodGroup6,devices
Iec60870DeviceType_InterrogationPeriodGroup7,devices
Iec60870DeviceType_InterrogationPeriodGroup8,devices
Iec60870DeviceType_InterrogationPeriodGroup9,devices
Iec60870DeviceType_LinkAddress,devices
Iec60870DeviceType_StartupClockSync,devices
Iec60870DeviceType_StartupInterrogation,devices
Iec60870DeviceType_TransmissionItemPlaceholder,devices
Iec60870DeviceType_UtcTime,devices
Iec60870LinkType,devices
Iec60870LinkType_AnonymousMode,devices
Iec60870LinkType_COTSize,devices
Iec60870LinkType_CRCProtection,devices
Iec60870LinkType_ConfirmationTimeout,devices
Iec60870LinkType_ConnectTimeout,devices
Iec60870LinkType_DataCollection,devices
Iec60870LinkType_DeviceAddressSize,devices
Iec60870LinkType_IdleTimeout,devices
Iec60870LinkType_InfoAddressSize,devices
Iec60870LinkType_Mode,devices
Iec60870LinkType_Protocol,devices
Iec60870LinkType_ReceiveQueueSize,devices
Iec60870LinkType_ReceiveTimeout,devices
Iec60870LinkType_SendQueueSize,devices
Iec60870LinkType_SendRetryCount,devices
Iec60870LinkType_SendTimeout,devices
Iec60870LinkType_TerminationTimeout,devices
Iec60870ModeDataType,devices
Iec60870ModeDataType_EnumStrings,devices
Iec60870ProtocolDataType,devices
Iec60870ProtocolDataType_EnumStrings,devices
Iec60870TransmissionItemType,devices
Iec61850ConfigurableObjectType,devices
Iec61850ConfigurableObjectType_Reference,devices
Iec61850ControlObjectType,devices
Iec61850DataVariableType,devices
Iec61850DeviceType,devices
Iec61850DeviceType_Host,devices
Iec61850DeviceType_Model,devices
Iec61850DeviceType_Port,devices
Iec61850DeviceType_TransmissionItemPlaceholder,devices
Iec61850LogicalNodeType,devices
Iec61850RcbType,devices
Iec61850TransmissionItemType,devices
LimitsPropertyCategory,data_items
LinkType,devices
LinkType_ActiveConnections,devices
LinkType_ConnectCount,devices
LinkType_Transport,devices
MetricType,scada
MetricType_AggregateFunction,scada
MetricType_AggregateInterval,scada
ModbusDeviceType,devices
ModbusDeviceType_Address,devices
ModbusDeviceType_ResponseTimeout,devices
ModbusDeviceType_SendRetryCount,devices
ModbusDeviceType_SuspendDuration,devices
ModbusDeviceType_TransmissionItemPlaceholder,devices
ModbusLinkProtocol,devices
ModbusLinkProtocol_EnumStrings,devices
ModbusLinkType,devices
ModbusLinkType_Mode,devices
ModbusLinkType_Protocol,devices
ModbusLinkType_RequestDelay,devices
ModbusModeDataType,devices
ModbusModeDataType_EnumStrings,devices
ModbusTransmissionItemType,devices
OPC,opc
PropertyCategories,scada
RoleType,security
RoleType_AddIdentity,security
RoleType_Authoring,security
RoleType_RemoveIdentity,security
SimulationFunctionDataType,data_items
SimulationFunctionDataType_EnumStrings,data_items
SimulationPropertyCategory,data_items
SimulationSignalType,data_items
SimulationSignalType_Function,data_items
SimulationSignalType_Period,data_items
SimulationSignalType_Phase,data_items
SimulationSignalType_UpdateInterval,data_items
SimulationSignals,data_items
TransmissionItemType,devices
TransmissionItemType_SourceAddress,devices
TsFormatType,data_items
TsFormatType_CloseColor,data_items
TsFormatType_CloseLabel,data_items
TsFormatType_OpenColor,data_items
TsFormatType_OpenLabel,data_items
TsFormats,data_items
UserType,security
UserType_AccessRights,security
UserType_MultiSessions,security
UserType_ProfileJson,security
UserType_ProfileRevision,security
UserType_SaveProfile,security
UserType_VerifyPassword,security
Users,security
